Antall podder,1 Tråd,2 Tråder,3 Tråder,4 Tråder,5 Tråder,6 Tråder,7 Tråder,8 Tråder,9 Tråder,10 Tråder
1,20.11,19.71,19.83,19.96,19.95,19.72,19.73,19.81,19.84,19.83
2,19.93,13.4,12.23,12.07,11.8,11.26,11.38,11.03,11.23,11.17
3,19.95,12.6,10.35,9.72,9.23,8.76,8.74,8.63,8.29,8.49
4,19.98,11.99,9.62,8.6,8.13,7.7,7.42,7.3,7.3,7.24
5,19.96,11.77,9.3,8.11,7.34,7.17,6.89,6.8,6.67,6.52
6,20.01,11.51,8.97,7.88,7.19,6.73,6.42,6.34,6.28,6.12
7,20,11.32,8.84,7.53,6.95,6.53,6.17,5.99,5.88,5.74
8,20.01,11.23,8.71,7.5,6.75,6.36,6.05,5.73,5.67,5.57
9,20.04,11.24,8.6,7.38,6.67,6.13,5.9,5.7,5.45,5.46
10,20.04,11.25,8.49,7.34,6.54,6.08,5.75,5.54,5.36,5.18
